dataset,protected_attr,stage,seed,epoch,encoder_dim,train_pred_loss,train_adv_loss,acc_tr_P,auc_tr_P,pr_auc_tr_P,brier_tr_P,logloss_tr_P,tpr_gap_tr_P,fpr_gap_tr_P,avg_odds_tr_P,dp_tr_P,tn_s0.0_tr_P,fp_s0.0_tr_P,fn_s0.0_tr_P,tp_s0.0_tr_P,tn_s1.0_tr_P,fp_s1.0_tr_P,fn_s1.0_tr_P,tp_s1.0_tr_P,acc_tr_Ptilde,auc_tr_Ptilde,pr_auc_tr_Ptilde,brier_tr_Ptilde,logloss_tr_Ptilde,tpr_gap_tr_Ptilde,fpr_gap_tr_Ptilde,avg_odds_tr_Ptilde,dp_tr_Ptilde,tn_s0.0_tr_Ptilde,fp_s0.0_tr_Ptilde,fn_s0.0_tr_Ptilde,tp_s0.0_tr_Ptilde,tn_s1.0_tr_Ptilde,fp_s1.0_tr_Ptilde,fn_s1.0_tr_Ptilde,tp_s1.0_tr_Ptilde,mi_tr,I_pred_S_tr,cdp_tr,acc_te_P,auc_te_P,pr_auc_te_P,brier_te_P,logloss_te_P,tpr_gap_te_P,fpr_gap_te_P,avg_odds_te_P,dp_te_P,tn_s0.0_te_P,fp_s0.0_te_P,fn_s0.0_te_P,tp_s0.0_te_P,tn_s1.0_te_P,fp_s1.0_te_P,fn_s1.0_te_P,tp_s1.0_te_P,acc_te_Ptilde,auc_te_Ptilde,pr_auc_te_Ptilde,brier_te_Ptilde,logloss_te_Ptilde,tpr_gap_te_Ptilde,fpr_gap_te_Ptilde,avg_odds_te_Ptilde,dp_te_Ptilde,tn_s0.0_te_Ptilde,fp_s0.0_te_Ptilde,fn_s0.0_te_Ptilde,tp_s0.0_te_Ptilde,tn_s1.0_te_Ptilde,fp_s1.0_te_Ptilde,fn_s1.0_te_Ptilde,tp_s1.0_te_Ptilde,mi_te,I_pred_S_te,cdp_te,ess
german,age,naive,1,30,8,0.614897757768631,0.0,0.6925,0.6790614375910635,0.4804581168527271,0.21241132393454806,0.6155506867939049,0.0812961365161538,0.14518395650471122,0.14518395650471122,0.15285899935022745,61,30,30,31,389,88,98,73,0.6925,0.6790614375910635,0.4804581168527271,0.21241132393454806,0.6155506867939049,0.0812961365161538,0.14518395650471122,0.14518395650471122,0.15285899935022745,61.0,30.0,30.0,31.0,389.0,88.0,98.0,73.0,0.16296595335006714,0.12319380526754714,0.14559698,0.595,0.5982620320855614,0.4626479371809418,0.23190920548566862,0.6559173078421087,0.2728249194414608,0.26967862133209125,0.2728249194414608,0.28102664067576355,9,10,8,11,84,29,34,15,0.595,0.5982620320855614,0.4626479371809418,0.23190920548566862,0.6559173078421087,0.2728249194414608,0.26967862133209125,0.2728249194414608,0.28102664067576355,9.0,10.0,8.0,11.0,84.0,29.0,34.0,15.0,0.06917992234230042,0.216266555197985,0.10696828,800.0
german,age,naive,1,50,8,0.5906356275081635,0.0,0.715,0.73161653108305,0.5312517761045695,0.1998718341078358,0.5882546967197313,0.08839037484421436,0.16665514778722326,0.16665514778722326,0.17803768680961662,60,31,26,35,394,83,88,83,0.715,0.73161653108305,0.5312517761045695,0.1998718341078358,0.5882546967197313,0.08839037484421436,0.16665514778722326,0.16665514778722326,0.17803768680961662,60.0,31.0,26.0,35.0,394.0,83.0,88.0,83.0,0.1466028094291687,0.14129281132218838,0.16763368,0.61,0.6459447415329769,0.4962137865925329,0.222691918530235,0.6367539387024973,0.19119226638023634,0.19934792734047507,0.19934792734047507,0.21767381416504222,10,9,8,11,82,31,30,19,0.61,0.6459447415329769,0.4962137865925329,0.222691918530235,0.6367539387024973,0.19119226638023634,0.19934792734047507,0.19934792734047507,0.21767381416504222,10.0,9.0,8.0,11.0,82.0,31.0,30.0,19.0,0.09229761362075806,0.22809557230213864,0.13854969,800.0
german,age,naive,1,100,8,0.5519067049026489,0.0,0.75125,0.7755357576493443,0.5817481824807573,0.1831292450543872,0.5498061542682775,0.029910842680471617,0.12797475061626007,0.12797475061626007,0.14319363222871995,66,25,26,35,407,70,78,93,0.75125,0.7755357576493443,0.5817481824807573,0.1831292450543872,0.5498061542682775,0.029910842680471617,0.12797475061626007,0.12797475061626007,0.14319363222871995,66.0,25.0,26.0,35.0,407.0,70.0,78.0,93.0,0.13290393352508545,0.12826785692327952,0.18797868,0.715,0.6969696969696969,0.5681387041683091,0.21068740621195073,0.6111170166532185,0.04833512352309344,0.32324173265020956,0.32324173265020956,0.26088369070825207,10,9,8,11,96,17,23,26,0.715,0.6969696969696969,0.5681387041683091,0.21068740621195073,0.6111170166532185,0.04833512352309344,0.32324173265020956,0.32324173265020956,0.26088369070825207,10.0,9.0,8.0,11.0,96.0,17.0,23.0,26.0,0.05785423517227173,0.19539563433087143,0.19479612,800.0
german,age,naive,2,15,8,0.6952342391014099,0.0,0.5725,0.5805533632831471,0.32649266765257073,0.24909978707745034,0.6930686451429813,0.2145205222128299,0.054373577912786464,0.2145205222128299,0.024853801169590628,47,42,37,26,279,200,63,106,0.5725,0.5805533632831471,0.32649266765257073,0.24909978707745034,0.6930686451429813,0.2145205222128299,0.054373577912786464,0.2145205222128299,0.024853801169590628,47.0,42.0,37.0,26.0,279.0,200.0,63.0,106.0,0.14168602228164673,0.02708089539159301,0.11816305,0.535,0.5232843137254901,0.36393669950728147,0.2560427265581336,0.7066877700826913,0.03921568627450983,0.034749034749034735,0.03921568627450983,0.0432098765432099,11,10,8,9,62,49,26,25,0.535,0.5232843137254901,0.36393669950728147,0.2560427265581336,0.7066877700826913,0.03921568627450983,0.034749034749034735,0.03921568627450983,0.0432098765432099,11.0,10.0,8.0,9.0,62.0,49.0,26.0,25.0,0.058351367712020874,0.06623415340532218,0.07802075,800.0
german,age,naive,2,30,8,0.6649303436279297,0.0,0.62625,0.6588984337056825,0.3987484213355414,0.23341580081766442,0.6598082444008563,0.23011176857330706,0.04332527972602096,0.23011176857330706,0.021848602988953914,53,36,35,28,306,173,55,114,0.62625,0.6588984337056825,0.3987484213355414,0.23341580081766442,0.6598082444008563,0.23011176857330706,0.04332527972602096,0.23011176857330706,0.021848602988953914,53.0,36.0,35.0,28.0,306.0,173.0,55.0,114.0,0.1308983564376831,0.047742156323380074,0.12810007,0.56,0.5681818181818182,0.4230862135248106,0.24563675799077067,0.6842306160928132,0.05882352941176472,0.20205920205920203,0.20205920205920203,0.1513970110461339,9,12,8,9,70,41,27,24,0.56,0.5681818181818182,0.4230862135248106,0.24563675799077067,0.6842306160928132,0.05882352941176472,0.20205920205920203,0.20205920205920203,0.1513970110461339,9.0,12.0,8.0,9.0,70.0,41.0,27.0,24.0,0.0574779212474823,0.10861711383065312,0.0778248,800.0
german,age,naive,2,50,8,0.6275371313095093,0.0,0.68125,0.725503885381253,0.49425065989230166,0.2176543414764265,0.6265707744666816,0.0931717854794778,0.1276301283103845,0.1276301283103845,0.0964100064977258,52,37,26,37,341,138,54,115,0.68125,0.725503885381253,0.49425065989230166,0.2176543414764265,0.6265707744666816,0.0931717854794778,0.1276301283103845,0.1276301283103845,0.0964100064977258,52.0,37.0,26.0,37.0,341.0,138.0,54.0,115.0,0.1733701527118683,0.0729350203760837,0.13636598,0.58,0.6107397504456328,0.4483670517316216,0.23634480112011516,0.6647049805443124,0.1568627450980392,0.24710424710424705,0.24710424710424705,0.22092267706302798,9,12,7,10,75,36,29,22,0.58,0.6107397504456328,0.4483670517316216,0.23634480112011516,0.6647049805443124,0.1568627450980392,0.24710424710424705,0.24710424710424705,0.22092267706302798,9.0,12.0,7.0,10.0,75.0,36.0,29.0,22.0,0.04490193724632263,0.14484544053883833,0.08720797,800.0
german,age,naive,2,100,8,0.5779209136962891,0.0,0.745,0.7810223409422049,0.5875185874174987,0.19449427701716915,0.5763899545515144,0.009861932938855955,0.11210152236635312,0.11210152236635312,0.13953866146848604,61,28,21,42,382,97,58,111,0.745,0.7810223409422049,0.5875185874174987,0.19449427701716915,0.5763899545515144,0.009861932938855955,0.11210152236635312,0.11210152236635312,0.13953866146848604,61.0,28.0,21.0,42.0,382.0,97.0,58.0,111.0,0.1521138846874237,0.09849771457078835,0.17258695,0.625,0.6597593582887701,0.4634562885390604,0.22622399601020127,0.6432700739745815,0.19607843137254904,0.31016731016731014,0.31016731016731014,0.2842755035737492,9,12,6,11,82,29,28,23,0.625,0.6597593582887701,0.4634562885390604,0.22622399601020127,0.6432700739745815,0.19607843137254904,0.31016731016731014,0.31016731016731014,0.2842755035737492,9.0,12.0,6.0,11.0,82.0,29.0,28.0,23.0,0.049053698778152466,0.15963405324498514,0.1599578,800.0
german,age,naive,3,15,8,0.7118212282657623,0.0,0.53625,0.482033490820837,0.29811073927531495,0.25599312566330157,0.7082930827679003,0.30091620538270664,0.23883089770354904,0.30091620538270664,0.25454840805718004,36,54,25,37,306,173,119,50,0.53625,0.482033490820837,0.29811073927531495,0.25599312566330157,0.7082930827679003,0.30091620538270664,0.23883089770354904,0.30091620538270664,0.25454840805718004,36.0,54.0,25.0,37.0,306.0,173.0,119.0,50.0,0.16220805048942566,0.22775165056706362,0.1860452,0.545,0.46133421838698974,0.34455420161732425,0.2599523270985165,0.7147538355708867,0.09150326797385616,0.019369369369369394,0.09150326797385616,0.030539311241065625,13,7,10,8,70,41,33,18,0.545,0.46133421838698974,0.34455420161732425,0.2599523270985165,0.7147538355708867,0.09150326797385616,0.019369369369369394,0.09150326797385616,0.030539311241065625,13.0,7.0,10.0,8.0,70.0,41.0,33.0,18.0,0.06263595819473267,0.017132026066658007,0.09963897,800.0
german,age,naive,3,30,8,0.6744963228702545,0.0,0.59,0.5380138315111953,0.33796214786142426,0.24007885770482396,0.6733718875216016,0.2670356938347013,0.2320343307817212,0.2670356938347013,0.24975633528265107,43,47,26,36,340,139,116,53,0.59,0.5380138315111953,0.33796214786142426,0.24007885770482396,0.6733718875216016,0.2670356938347013,0.2320343307817212,0.2670356938347013,0.24975633528265107,43.0,47.0,26.0,36.0,340.0,139.0,116.0,53.0,0.15995562076568604,0.25127537070434164,0.1621651,0.565,0.5179776523951765,0.37544521520328156,0.24624451999226352,0.6854908684813094,0.1111111111111111,0.09234234234234234,0.1111111111111111,0.002599090318388564,15,5,10,8,73,38,34,17,0.565,0.5179776523951765,0.37544521520328156,0.24624451999226352,0.6854908684813094,0.1111111111111111,0.09234234234234234,0.1111111111111111,0.002599090318388564,15.0,5.0,10.0,8.0,73.0,38.0,34.0,17.0,0.045307546854019165,0.030800810099218034,0.09845999,800.0
german,age,naive,3,50,8,0.6416878700256348,0.0,0.635,0.610518947953043,0.39487271814969527,0.22367209285951076,0.637799991632643,0.24928421454476046,0.1953375086986778,0.24928421454476046,0.23107537361923325,51,39,26,36,365,114,113,56,0.635,0.610518947953043,0.39487271814969527,0.22367209285951076,0.637799991632643,0.24928421454476046,0.1953375086986778,0.24928421454476046,0.23107537361923325,51.0,39.0,26.0,36.0,365.0,114.0,113.0,56.0,0.17645418643951416,0.2520973085756217,0.16594157,0.62,0.5836928863812368,0.4280322412851121,0.23265676201711835,0.6571612338026775,0.01633986928104575,0.12027027027027029,0.12027027027027029,0.039311241065627056,17,3,11,7,81,30,32,19,0.62,0.5836928863812368,0.4280322412851121,0.23265676201711835,0.6571612338026775,0.01633986928104575,0.12027027027027029,0.12027027027027029,0.039311241065627056,17.0,3.0,11.0,7.0,81.0,30.0,32.0,19.0,0.05787158012390137,0.036667209292569204,0.09070343,800.0
german,age,naive,3,100,8,0.5825613737106323,0.0,0.69625,0.7234838974733527,0.5009445129608345,0.198421787978863,0.5828897929582968,0.09114334796716939,0.11762932034330784,0.11762932034330784,0.146361273554256,61,29,27,35,381,98,89,80,0.69625,0.7234838974733527,0.5009445129608345,0.198421787978863,0.5828897929582968,0.09114334796716939,0.11762932034330784,0.11762932034330784,0.146361273554256,61.0,29.0,27.0,35.0,381.0,98.0,89.0,80.0,0.17407819628715515,0.19403776109551843,0.15853328,0.665,0.6697643544639893,0.5169713192047245,0.21418753286789094,0.6184595314921397,0.06862745098039214,0.14324324324324325,0.14324324324324325,0.01299545159194282,18,2,9,9,84,27,29,22,0.665,0.6697643544639893,0.5169713192047245,0.21418753286789094,0.6184595314921397,0.06862745098039214,0.14324324324324325,0.14324324324324325,0.01299545159194282,18.0,2.0,9.0,9.0,84.0,27.0,29.0,22.0,0.08484092354774475,0.03273651174026226,0.09210101,800.0
german,age,naive,4,15,8,0.7481734454631805,0.0,0.47875,0.5372144983261455,0.3268471674043373,0.2726484290903628,0.7439297308368351,0.013876374121463364,0.06581378820184791,0.06581378820184791,0.029077322936972072,42,48,22,40,188,281,66,113,0.47875,0.5372144983261455,0.3268471674043373,0.2726484290903628,0.7439297308368351,0.013876374121463364,0.06581378820184791,0.06581378820184791,0.029077322936972072,42.0,48.0,22.0,40.0,188.0,281.0,66.0,113.0,0.1612173616886139,0.0494865369486955,0.12568077,0.47,0.5183315302319991,0.317993390665956,0.2709313074525325,0.7387809456465771,0.13008130081300806,0.08677685950413228,0.13008130081300806,0.004873294346978585,10,10,6,12,50,71,19,22,0.47,0.5183315302319991,0.317993390665956,0.2709313074525325,0.7387809456465771,0.13008130081300806,0.08677685950413228,0.13008130081300806,0.004873294346978585,10.0,10.0,6.0,12.0,50.0,71.0,19.0,22.0,0.059319496154785156,0.03241717984040256,0.10971707,800.0
german,age,naive,4,30,8,0.7157440483570099,0.0,0.51375,0.599596196527587,0.3851031587334664,0.25721544717737993,0.7098845578718709,0.013245629843214979,0.027884387585880077,0.027884387585880077,0.0017868745938921515,43,47,21,41,211,258,63,116,0.51375,0.599596196527587,0.3851031587334664,0.25721544717737993,0.7098845578718709,0.013245629843214979,0.027884387585880077,0.027884387585880077,0.0017868745938921515,43.0,47.0,21.0,41.0,211.0,258.0,63.0,116.0,0.14702758193016052,0.008912390240722459,0.12027916,0.52,0.5545137636735185,0.3438915705754656,0.260590803559977,0.7163607503386521,0.0013550135501355642,0.02066115702479343,0.02066115702479343,0.009421702404158627,10,10,7,11,58,63,16,25,0.52,0.5545137636735185,0.3438915705754656,0.260590803559977,0.7163607503386521,0.0013550135501355642,0.02066115702479343,0.02066115702479343,0.009421702404158627,10.0,10.0,7.0,11.0,58.0,63.0,16.0,25.0,0.07720518112182617,0.014955845487119219,0.10406762,800.0
german,age,naive,4,50,8,0.6761711537837982,0.0,0.585,0.6662237694757235,0.4632251121399004,0.24087924719530002,0.6747305449928277,0.0047756352495944565,0.10992655768775172,0.10992655768775172,0.0964100064977258,40,50,19,43,260,209,54,125,0.585,0.6662237694757235,0.4632251121399004,0.24087924719530002,0.6747305449928277,0.0047756352495944565,0.10992655768775172,0.10992655768775172,0.0964100064977258,40.0,50.0,19.0,43.0,260.0,209.0,54.0,125.0,0.15035554766654968,0.07306700105601169,0.15098709,0.51,0.5882918620026446,0.35798002573868937,0.2503140703226822,0.6944007466664479,0.050135501355013545,0.02066115702479343,0.050135501355013545,0.02176738141650425,10,10,7,11,58,63,18,23,0.51,0.5882918620026446,0.35798002573868937,0.2503140703226822,0.6944007466664479,0.050135501355013545,0.02066115702479343,0.050135501355013545,0.02176738141650425,10.0,10.0,7.0,11.0,58.0,63.0,18.0,23.0,0.028967857360839844,0.06618564556567796,0.12806544,800.0
